Title	Description	Link	pubDate	Image
Portugal wracked by blazes at tail end of Europe’s wildfire seaso...	Three firefighters died battling the blazes, Portugal’s prime minister said, adding the country was going through 'difficult days.'	https://www.washingtonpost.com/world/2024/09/17/portugal-wildfires-firefighter-deaths/	2024-09-17T13:18:34-07:00	
Israel expands war goals on Lebanon border as U.S. tries to calm ...	White House adviser Amos Hochstein met with top Israeli officials as he tried to de-escalate tensions with the Lebanese militant group Hezbollah.	https://www.washingtonpost.com/world/2024/09/17/israel-gaza-lebanon-hezbollah/	2024-09-17T10:36:30-07:00	
Death toll rises in European floods; more severe weather expected	At least 19 people have died in floods in central Europe, including in Romania, Poland, Austria and the Czech Republic, according to officials.	https://www.washingtonpost.com/weather/2024/09/15/europe-flooding-deaths-evacuations/	2024-09-17T07:26:50-07:00	
Meta bans Russian state media outlet RT for acts of ‘foreign inte...	The U.S. recently imposed sanctions on RT’s parent companies, Rossiya Segodnya and TV-Novosti, accusing them of acting as an arm of Moscow’s intelligence operations.	https://www.washingtonpost.com/technology/2024/09/17/meta-ban-rt-russia-state-media/	2024-09-17T05:02:03-07:00	
Man accused of recruiting dozens to rape his wife tells court: ‘I...	French man Dominique Pélicot testified he and 'everyone else in this room' are rapists, contradicting those who said they didn’t know the woman hadn’t consented.	https://www.washingtonpost.com/world/2024/09/17/france-rape-trial-dominique-pelicot-testifies-husband-wife/	2024-09-17T02:41:47-07:00	
When Russian bombs fall on Kharkiv, this man collects the evidenc...	This police investigator records the wreckage, measures the shrapnel and gathers the bodies, even without knowing if Russia will ever be held accountable.	https://www.washingtonpost.com/world/2024/09/17/ukraine-missile-strikes-kharkiv-victims/	2024-09-16T23:00:00-07:00	
Suspected gunman’s search for Ukraine fighters was ‘no help,’ for...	The Trump golf course suspect described himself as a defender of Ukraine and Taiwan. But a former representative of Ukraine’s International Legion said he was all talk.	https://www.washingtonpost.com/world/2024/09/16/ryan-routh-ukraine-recruit-taiwan/	2024-09-16T11:28:35-07:00	
Candidate hits opponent with chair during live TV debate	José Luiz Datena slammed a chair into opponent Pablo Marçal at the São Paulo mayoral debate. Marçal’s aides said he was diagnosed with a fractured rib.	https://www.washingtonpost.com/world/2024/09/16/brazil-politician-chair-attack-mayor-debate/	2024-09-16T05:59:00-07:00	
Gripped by despair, Israel’s hostage families try to keep hope al...	There is a rope hanging over my son’s head,' said Yehuda Cohen, father of hostage Nimrod Cohen. He says the U.S. must pressure Netanyahu into a cease-fire.	https://www.washingtonpost.com/world/2024/09/16/israel-gaza-hostage-cohen/	2024-09-16T01:00:45-07:00	
China frees U.S. pastor after nearly two decades, State Departmen...	California pastor David Lin was charged with fraud by Chinese authorities while active in a religious movement. The United States says that he was wrongfully detained.	https://www.washingtonpost.com/national-security/2024/09/15/david-lin-release-china/	2024-09-15T22:22:26-07:00	
‘Sprinkled with our blood’: Why so many Ukrainians resist land fo...	Ukraine is under pressure to cut a deal to end the war, especially if Trump wins, but these soldiers in the east are not ready to give up land.	https://www.washingtonpost.com/world/2024/09/16/ukraine-donbas-war-land-peace-russia/	2024-09-15T22:00:41-07:00	
Hunger still stalks Gaza	I’ve never seen a crisis like this in my 25 years in humanitarian work,' a U.N. World Food Program regional director said of the increasingly insecure situation in Gaza.	https://www.washingtonpost.com/world/2024/09/16/gaza-hunger-humanitarian-world-food-program/	2024-09-15T21:00:40-07:00	
