Title	Description	Link	pubDate	Image
US-Ukraine ceasefire proposal: What could Russia demand?	Analysts speculate that Russia could demand a lifting of sanctions or removal of Ukrainian troops from Kursk.	https://www.aljazeera.com/news/2025/3/13/us-ukraine-ceasefire-proposal-what-could-russia-demand?traffic_source=rss	2025-03-13T05:05:19-07:00	
Russian, US delegation to meet in Moscow for Ukraine ceasefire talks	Trump envoy Steve Witkoff visits Moscow as Russia claims to have recaptured key towns in Kursk region from Ukraine.	https://www.aljazeera.com/news/2025/3/13/russian-us-delegation-to-meet-in-moscow-for-ukraine-ceasefire-talks?traffic_source=rss	2025-03-13T05:05:16-07:00	
Iran bets big on gold as it weathers Trump turmoil	Iran says it has turned much of its reserves into gold, as gold imports soar to three times the level of last year.	https://www.aljazeera.com/news/2025/3/13/iran-bets-big-on-gold-as-it-weathers-trump-turmoil?traffic_source=rss	2025-03-13T04:41:29-07:00	
A blood moon will rise: When and how to watch the total lunar eclipse	The eclipse is set to take place on the night of Thursday, March 13, into the early hours of Friday, March 14.	https://www.aljazeera.com/news/2025/3/13/a-blood-moon-will-rise-when-and-how-to-watch-the-total-lunar-eclipse?traffic_source=rss	2025-03-13T04:36:34-07:00	
A New Round of Violence in Syria?	In this episode of Project Force, @AlexGatopoulos asks whether another round of violence is coming in Syria	https://www.aljazeera.com/program/project-force-2/2025/3/13/a-new-round-of-violence-in-syria?traffic_source=rss	2025-03-13T04:12:41-07:00	
Trump electricity stance	We compare and contrast Trump’s reaction to Canada’s surcharges and his silence on Israel cutting Gaza’s power.	https://www.aljazeera.com/program/compare-contrast/2025/3/13/trump-electricity-stance?traffic_source=rss	2025-03-13T03:27:00-07:00	
Trump’s steel, aluminium tariffs: How are targeted countries responding?	Some countries are fighting back with retaliatory tariffs, others are seeking exemptions and are trying to negotiate.	https://www.aljazeera.com/news/2025/3/13/trumps-steel-aluminium-tariffs-how-are-targeted-countries-responding?traffic_source=rss	2025-03-13T03:16:44-07:00	
Pope Francis marks 12 years as head of Catholic church in hospital	The leader of the world's 1.4 billion Catholics is recovering from double pneumonia at Rome's Gemelli hospital.	https://www.aljazeera.com/news/2025/3/13/pope-francis-marks-12-years-as-head-of-catholic-church-in-hospital?traffic_source=rss	2025-03-13T03:05:16-07:00	
Football diehards and Argentinian retirees protest pension reform	Riot police used tear gas, rubber bullets and water cannon to try to disperse stone-throwing protesters.	https://www.aljazeera.com/gallery/2025/3/13/football-diehards-and-argentinian-retirees-protest-pension-reform?traffic_source=rss	2025-03-13T02:59:33-07:00	
Video: Questions in Pakistan over train hijacking	Security forces in Pakistan say they have killed all 33 separatist fighters behind a deadly attack on a train.	https://www.aljazeera.com/program/newsfeed/2025/3/13/video-questions-in-pakistan-over-train-hijacking?traffic_source=rss	2025-03-13T02:51:38-07:00	
Israel’s attacks on reproductive healthcare in Gaza ‘genocidal’: UN	UN experts say Israel 'intentionally attacked and destroyed' the Palestinian territory’s main fertility centre.	https://www.aljazeera.com/news/2025/3/13/israels-attacks-on-reproductive-healthcare-in-gaza-genocidal-un?traffic_source=rss	2025-03-13T02:46:22-07:00	
