Title	Description	Link	pubDate	Image
Georgia’s ruling party celebrates victory but it's unclear who wi...	Georgia’s ruling party celebrates victory but it's unclear who will form next government	https://www.euronews.com/2024/10/27/georgias-ruling-party-celebrates-victory-but-its-unclear-who-will-form-next-government	2024-10-26T15:54:48-07:00	
Thousands march in Lisbon against racism and police violence afte...	Thousands march in Lisbon against racism and police violence after police shoot dead man	https://www.euronews.com/2024/10/27/thousands-march-in-lisbon-against-racism-and-police-violence-after-police-shoot-dead-man	2024-10-26T15:05:33-07:00	
Tens of thousands of demonstrators march in Italian cities callin...	Tens of thousands of demonstrators march in Italian cities calling for peace in Gaza and Ukraine	https://www.euronews.com/2024/10/26/tens-of-thousands-of-demonstrators-march-in-italian-cities-calling-for-peace-in-gaza-and-u	2024-10-26T14:40:10-07:00	
Lithuania votes in the 2nd round of its parliamentary election, w...	Lithuania votes in the 2nd round of its parliamentary election, with change uncertain	https://www.euronews.com/2024/10/26/lithuania-votes-in-the-2nd-round-of-its-parliamentary-election-with-change-uncertain	2024-10-26T14:04:13-07:00	
Bulgarians head to the polls to vote in seventh general election ...	Bulgarians head to the polls to vote in seventh general election in three years	https://www.euronews.com/2024/10/26/bulgarians-head-to-the-polls-to-vote-in-seventh-general-election-in-three-years	2024-10-26T13:16:59-07:00	
At least 126 dead or missing in massive flooding and landslides i...	At least 126 dead or missing in massive flooding and landslides in Philippines	https://www.euronews.com/2024/10/26/at-least-126-dead-or-missing-in-massive-flooding-and-landslides-in-philippines	2024-10-26T08:48:41-07:00	
Some elderly voters in rural Bulgaria can't reach polling station...	Some elderly voters in rural Bulgaria can't reach polling stations	https://www.euronews.com/2024/10/26/some-elderly-voters-in-rural-bulgaria-cant-reach-polling-stations	2024-10-26T06:08:40-07:00	
Iran downplays Israel's attack as it seeks to avoid confrontation	Iran downplays Israel's attack as it seeks to avoid confrontation	https://www.euronews.com/2024/10/26/iran-downplays-israels-attack-as-it-seeks-to-avoid-confrontation	2024-10-26T02:57:05-07:00	
Beyoncé joins Kamala Harris at Texas rally and lights up Democrat...	Beyoncé joins Kamala Harris at Texas rally and lights up Democrat campaign	https://www.euronews.com/2024/10/26/beyonce-joins-kamala-harris-at-texas-rally-and-lights-up-democrat-campaign	2024-10-26T00:42:19-07:00	
Israel launches a wave of airstrikes against its arch-enemy Iran	Israel launches a wave of airstrikes against its arch-enemy Iran	https://www.euronews.com/2024/10/26/israel-launches-strikes-on-military-targets-in-iran-officials-say	2024-10-25T16:45:29-07:00	
Israeli airstrike killed journalists covering the war in Lebanon ...	Israeli airstrike killed journalists covering the war in Lebanon as they slept	https://www.euronews.com/2024/10/26/israeli-airstrike-killed-journalists-covering-the-war-in-lebanon-as-they-slept	2024-10-25T16:06:07-07:00	
At least one killed and several injured after Russian drone attac...	At least one killed and several injured after Russian drone attack on residential Kyiv building	https://www.euronews.com/2024/10/26/at-least-one-killed-and-several-injured-after-russian-drone-attack-on-residential-kyiv-bui	2024-10-25T15:07:13-07:00	
Georgia voting in divisive election which could determine its fut...	Georgia voting in divisive election which could determine its future in Europe	https://www.euronews.com/2024/10/25/georgia-voting-in-divisive-election-which-could-determine-its-future-in-europe	2024-10-25T13:16:49-07:00	
The year of elections: What can Trump learn from Europe as he fig...	The year of elections: What can Trump learn from Europe as he fights for Gen-Z voters?	https://www.euronews.com/2024/10/25/the-year-of-elections-what-can-trump-learn-from-europe-as-he-fights-for-gen-z-voters	2024-10-25T09:26:35-07:00	
Prosecutors seek new sentence for Erik and Lyle Menendez in 1989 ...	Prosecutors seek new sentence for Erik and Lyle Menendez in 1989 double murder of their parents	https://www.euronews.com/2024/10/25/prosecutors-seek-new-sentence-for-erik-and-lyle-menendez-in-1989-double-murder-of-their-pa	2024-10-25T08:54:50-07:00	
Israeli airstrikes kill at least 38 people in Khan Younis	Israeli airstrikes kill at least 38 people in Khan Younis	https://www.euronews.com/2024/10/25/israeli-airstrikes-kill-at-least-38-people-in-khan-younis	2024-10-25T07:03:50-07:00	
Germany backs India-EU free trade agreement as Scholz visits New ...	Germany backs India-EU free trade agreement as Scholz visits New Delhi	https://www.euronews.com/2024/10/25/germany-backs-india-eu-free-trade-agreement-as-scholz-visits-new-delhi	2024-10-25T06:22:17-07:00	
Viktor Orbán claims EU installed 'puppet government' in Poland	Viktor Orbán claims EU installed 'puppet government' in Poland	https://www.euronews.com/2024/10/25/viktor-orban-claims-eu-installed-puppet-government-in-poland	2024-10-25T04:31:05-07:00	
NO COMMENT: Aftermath of Israeli airstrike on Al-Maghazi refugee ...	NO COMMENT: Aftermath of Israeli airstrike on Al-Maghazi refugee camp that killed at least four	https://www.euronews.com/2024/10/25/no-comment-aftermath-of-israeli-airstrike-on-al-maghazi-refugee-camp-that-killed-at-least-	2024-10-25T03:42:57-07:00	
Georgia stands at a crossroads between EU and Russia in pivotal, ...	Georgia stands at a crossroads between EU and Russia in pivotal, tense election	https://www.euronews.com/2024/10/25/georgia-at-crossroads-between-eu-and-russia-in-pivotal-tense-election	2024-10-25T03:00:33-07:00	
Georgian PM Kobakhidze rejects Russian influence and embraces Eur...	Georgian PM Kobakhidze rejects Russian influence and embraces Europe ahead of elections	https://www.euronews.com/2024/10/25/georgian-pm-kobakhidze-rejects-russian-influence-and-embraces-europe-ahead-of-elections	2024-10-25T02:08:13-07:00	
Ukraine calls on North Korean soldiers to surrender and promises ...	Ukraine calls on North Korean soldiers to surrender and promises safety, food and medical care	https://www.euronews.com/2024/10/25/ukraine-calls-on-north-korean-soldiers-to-surrender-and-promises-safety-food-and-medical-c	2024-10-25T01:52:53-07:00	
Kamala Harris and Barack Obama target black voters in key battleg...	Kamala Harris and Barack Obama target black voters in key battleground state of Georgia	https://www.euronews.com/2024/10/25/kamala-harris-and-barack-obama-target-black-voters-in-key-battleground-state-of-georgia	2024-10-25T00:32:17-07:00	
Georgia prepares for a bitterly divided election which could dete...	Georgia prepares for a bitterly divided election which could determine its future in Europe	https://www.euronews.com/2024/10/25/georgia-prepares-for-a-bitterly-divided-election-which-could-determine-its-future-in-europ	2024-10-24T20:51:07-07:00	
Israeli strike on a school in Gaza has killed at least 17 people,...	Israeli strike on a school in Gaza has killed at least 17 people, Palestinian officials say	https://www.euronews.com/2024/10/25/israeli-strike-on-a-school-in-gaza-has-killed-at-least-17-people-palestinian-officials-say	2024-10-24T16:05:48-07:00	
Von der Leyen tours Western Balkans in latest EU enlargement tour	Von der Leyen tours Western Balkans in latest EU enlargement tour	https://www.euronews.com/2024/10/25/von-der-leyen-expected-to-arrive-in-serbia-as-part-of-eu-enlargement-tour	2024-10-24T15:14:17-07:00	
Thousands mourn Turkish preacher and Erdoğan rival Fethullah Güle...	Thousands mourn Turkish preacher and Erdoğan rival Fethullah Gülen at New Jersey funeral service	https://www.euronews.com/2024/10/24/thousands-mourn-turkish-preacher-and-erdogan-rival-fethullah-gulen-at-new-jersey-funeral-s	2024-10-24T13:33:05-07:00	
Trump: I’ll fire special counsel 'within 2 seconds' if re-elected	Trump: I’ll fire special counsel 'within 2 seconds' if re-elected	https://www.euronews.com/2024/10/24/trump-ill-fire-special-counsel-within-2-seconds-if-re-elected	2024-10-24T13:17:52-07:00	
Two Catholic Church of Greece officials accused of money launderi...	Two Catholic Church of Greece officials accused of money laundering through nightclubs	https://www.euronews.com/2024/10/24/two-catholic-church-of-greece-officials-accused-of-money-laundering-through-nightclubs	2024-10-24T12:14:54-07:00	
