Title	Description	Link	pubDate	Image
Romania's far right presidential frontrunner vows to end Ukraine aid	Calin Georgescu, who leads Romania's presidential race, tells the BBC he would end support for Ukraine if elected.	https://www.bbc.com/news/articles/cvg6l06ldpqo	2024-12-05T07:22:13-08:00	
Disappearances double in Sinaloa amid Mexican cartel rift	The security forces scored a victory with a huge fentanyl bust but levels of violence remain high.	https://www.bbc.com/news/articles/cdr0dg4g11do	2024-12-05T06:38:06-08:00	
Syrian rebels capture second major city after military withdraws	Hama is south of Aleppo, which the rebels seized last week after launching a lightning offensive.	https://www.bbc.com/news/articles/cql5r2px4yyo	2024-12-05T06:36:44-08:00	
Amnesty accuses Israel of genocide against Palestinians in Gaza	Israel denies the accusation, saying it is defending itself against Hamas attacks in accordance with international law.	https://www.bbc.com/news/articles/cjwl0v4w5j3o	2024-12-05T06:10:49-08:00	
Canada man jumps on polar bear to defend wife from attack	The man suffered serious but non-life threatening injuries during the incident in the country's far north.	https://www.bbc.com/news/articles/cewx20xrgj5o	2024-12-05T06:06:03-08:00	
Ukraine gave up its nuclear weapons. Now it's asking why	It's 30 years since Ukraine agreed to give up its nuclear arsenal. Some now question why they did.	https://www.bbc.com/news/articles/crl3ndxglwxo	2024-12-05T05:21:14-08:00	
First EU visit for Russian foreign minister since invasion	Sergei Lavrov is in Malta for a two-day summit of the Organization for Security and Cooperation in Europe.	https://www.bbc.com/news/articles/cjr247pvlxxo	2024-12-05T05:09:29-08:00	
What next for Bitcoin after bursting $100k barrier?	It burst through the threshold after the president-elect announced a crypto-friendly Wall Street regulator.	https://www.bbc.com/news/articles/cqjz04lv5q9o	2024-12-05T04:40:43-08:00	
Mother sues Mattel over porn site doll misprint	A South Carolina mother claims her daughter visited the adult website on the doll's packaging.	https://www.bbc.com/news/articles/cg7rg29jngvo	2024-12-05T04:13:02-08:00	
Moment Bahamas MP throws ceremonial mace out parliament window	Throwing a mace out a window has historic significance in the country and previously happened in 1965.	https://www.bbc.com/news/videos/cvg7xp1v7l3o	2024-12-05T03:40:16-08:00	
Housemate convicted of horrific murder of Kenyan LGBT activist	The body of Edwin Chiloba was found dumped in a box last year, sparking global condemnation.	https://www.bbc.com/news/articles/cd60v5q9y30o	2024-12-05T01:23:18-08:00	
S Korean leader under pressure as impeachment vote looms	Yoon Suk Yeol clings to power amid protests and a police investigation into his shock martial law decree.	https://www.bbc.com/news/articles/c74x8xpz3j2o	2024-12-05T00:44:20-08:00	
